Value,Type,Year,Field,FieldOrder1,FieldOrder2,Fieldkm,Field2km,Field3km,Variety,Variety2,,,Transect distance conversions,,,,,
22.20888355,inc,3,2,2,4,1.162376238,1.351118518,1.570508059,Eb,Ka,,,,,,,,
9.963985594,inc,3,3,3,9,1,1,1,Ka,Mw,,,,,,,,
23.52941176,inc,3,4,4,16,0.859405941,0.738578571,0.634738811,Ka,Mw,,,,,,,,
51.14045618,inc,3,5,5,25,0.706930693,0.499751005,0.353289324,Ka,Bu,,,,,,,,
67.22689076,inc,3,6,6,36,0.617821782,0.381703755,0.235824894,Ka,Eb,,,,,,,,
81.75270108,inc,3,7,7,49,0.40990099,0.168018822,0.068871081,Ba,Ka,,,,,,,,
61.94477791,inc,3,8,8,64,0.215841584,0.046587589,0.010055539,Mp,Eb,,,,,,,,
49.69987995,inc,3,9,9,81,0.071287129,0.005081855,0.000362271,Ba,Eb,,,,,,,,
92.19687875,inc,3,10,10,100,0,0,0,Eb,Ny,,,,,,,,
0.659340659,adult,3,1,1,1,1.364356436,1.861468483,2.539706505,Eb,Bu,,,,,,,,
1.19047619,adult,3,2,2,4,1.162376238,1.351118518,1.570508059,Eb,Ka,,,,,,,,
0.805860806,adult,3,3,3,9,1,1,1,Ka,Mw,,,,,,,,
2.545787546,adult,3,4,4,16,0.859405941,0.738578571,0.634738811,Ka,Mw,,,,,,,,
4.249084249,adult,3,5,5,25,0.706930693,0.499751005,0.353289324,Ka,Bu,,,,,,,,
1.446886447,adult,3,6,6,36,0.617821782,0.381703755,0.235824894,Ka,Eb,,,,,,,,
1.208791209,adult,3,7,7,49,0.40990099,0.168018822,0.068871081,Ba,Ka,,,,,,,,
1.098901099,adult,3,8,8,64,0.215841584,0.046587589,0.010055539,Mp,Eb,,,,,,,,
1.941391941,adult,3,9,9,81,0.071287129,0.005081855,0.000362271,Ba,Eb,,,,,,,,
2.014652015,adult,3,10,10,100,0,0,0,Eb,Ny,,,,,,,,
66.38655462,inc,4,1,1,1,1.364356436,1.861468483,2.539706505,Eb,Bu,,,,,,,,
25.21008403,inc,4,2,2,4,1.162376238,1.351118518,1.570508059,Eb,Ka,,,,,,,,
8.763505402,inc,4,3,3,9,1,1,1,Ka,Mw,,,,,,,,
33.97358944,inc,4,4,4,16,0.859405941,0.738578571,0.634738811,Ka,Mw,,,,,,,,
65.54621849,inc,4,5,5,25,0.706930693,0.499751005,0.353289324,Ka,Bu,,,,,,,,
77.55102041,inc,4,6,6,36,0.617821782,0.381703755,0.235824894,Ka,Eb,,,,,,,,
80.43217287,inc,4,7,7,49,0.40990099,0.168018822,0.068871081,Ba,Ka,,,,,,,,
87.03481393,inc,4,8,8,64,0.215841584,0.046587589,0.010055539,Mp,Eb,,,,,,,,
85.71428571,inc,4,9,9,81,0.071287129,0.005081855,0.000362271,Ba,Eb,,,,,,,,
83.79351741,inc,4,10,10,100,0,0,0,Eb,Ny,,,,,,,,
0.897435897,adult,4,1,1,1,1.364356436,1.861468483,2.539706505,Eb,Bu,,,,,,,,
1.080586081,adult,4,2,2,4,1.162376238,1.351118518,1.570508059,Eb,Ka,,,,,,,,
1.3003663,adult,4,3,3,9,1,1,1,Ka,Mw,,,,,,,,
2.838827839,adult,4,4,4,16,0.859405941,0.738578571,0.634738811,Ka,Mw,,,,,,,,
4.285714286,adult,4,5,5,25,0.706930693,0.499751005,0.353289324,Ka,Bu,,,,,,,,
11.20879121,adult,4,6,6,36,0.617821782,0.381703755,0.235824894,Ka,Eb,,,,,,,,
1.776556777,adult,4,7,7,49,0.40990099,0.168018822,0.068871081,Ba,Ka,,,,,,,,
5.091575092,adult,4,8,8,64,0.215841584,0.046587589,0.010055539,Mp,Eb,,,,,,,,
2.728937729,adult,4,9,9,81,0.071287129,0.005081855,0.000362271,Ba,Eb,,,,,,,,
2.014652015,adult,4,10,10,100,0,0,0,Eb,Ny,,,,,,,,
34.57382953,inc,5,1,1,1,1.364356436,1.861468483,2.539706505,Eb,Bu,,,,,,,,
30.25210084,inc,5,2,2,4,1.162376238,1.351118518,1.570508059,Eb,Ka,,,,,,,,
10.08403361,inc,5,3,3,9,1,1,1,Ka,Mw,,,,,,,,
56.66266507,inc,5,4,4,16,0.859405941,0.738578571,0.634738811,Ka,Mw,,,,,,,,
87.63505402,inc,5,5,5,25,0.706930693,0.499751005,0.353289324,Ka,Bu,,,,,,,,
97.23889556,inc,5,6,6,36,0.617821782,0.381703755,0.235824894,Ka,Eb,,,,,,,,
96.75870348,inc,5,7,7,49,0.40990099,0.168018822,0.068871081,Ba,Ka,,,,,,,,
96.39855942,inc,5,8,8,64,0.215841584,0.046587589,0.010055539,Mp,Eb,,,,,,,,
99.3997599,inc,5,9,9,81,0.071287129,0.005081855,0.000362271,Ba,Eb,,,,,,,,
98.67947179,inc,5,10,10,100,0,0,0,Eb,Ny,,,,,,,,
0.347985348,adult,5,1,1,1,1.364356436,1.861468483,2.539706505,Eb,Bu,,,,,,,,
0.274725275,adult,5,2,2,4,1.162376238,1.351118518,1.570508059,Eb,Ka,,,,,,,,
0.43956044,adult,5,3,3,9,1,1,1,Ka,Mw,,,,,,,,
2.014652015,adult,5,4,4,16,0.859405941,0.738578571,0.634738811,Ka,Mw,,,,,,,,
2.802197802,adult,5,5,5,25,0.706930693,0.499751005,0.353289324,Ka,Bu,,,,,,,,
3.296703297,adult,5,6,6,36,0.617821782,0.381703755,0.235824894,Ka,Eb,,,,,,,,
2.912087912,adult,5,7,7,49,0.40990099,0.168018822,0.068871081,Ba,Ka,,,,,,,,
2.637362637,adult,5,8,8,64,0.215841584,0.046587589,0.010055539,Mp,Eb,,,,,,,,
3.47985348,adult,5,9,9,81,0.071287129,0.005081855,0.000362271,Ba,Eb,,,,,,,,
1.263736264,adult,5,10,10,100,0,0,0,Eb,Ny,,,,,,,,
